                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7809,                 28.114,                 3.5565,                      0,                      0,                      0,                      0,                 6.6809,                    229,                 3.4714,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 4.5349,                 21.307,                 2.6639,                      0,                      0,                      0,                      0,                 6.6206,                 215.45,                 3.4445,             8.7491e-05,             8.7491e-05,             8.7491e-05
                      3,                 4.5024,                 26.134,                 2.6116,                      0,                      0,                      0,                      0,                 6.4668,                 165.34,                 3.4106,             0.00013744,             0.00013744,             0.00013744
                      4,                 4.5726,                 10.334,                 2.2028,                0.76925,                0.09737,                0.01839,                0.00426,                  3.121,                 14.974,                 1.3333,             0.00018732,             0.00018732,             0.00018732
                      5,                 2.4762,                 4.9161,                 1.0262,                0.03163,                 0.2422,                0.03671,                0.01186,                 2.7849,                 5.1128,                 1.2419,             0.00023709,             0.00023709,             0.00023709
                      6,                 2.9055,                 3.6345,                 1.1959,                0.02289,                0.52197,                0.03918,                0.01296,                 2.6278,                 4.8616,                  1.208,             0.00028672,             0.00028672,             0.00028672
                      7,                 1.9998,                  3.788,                0.83737,                 0.3321,                0.14839,                0.05291,                0.01377,                 2.6706,                 3.9682,                 1.1749,             0.00033618,             0.00033618,             0.00033618
                      8,                 2.5361,                 2.6299,                 1.1242,                0.02563,                0.43136,                0.02955,                0.01223,                 2.3876,                 10.738,                 1.1447,             0.00038544,             0.00038544,             0.00038544
                      9,                 2.5821,                  2.621,                 1.1805,                0.03213,                0.09347,                0.04076,                0.01686,                 2.4268,                 15.675,                 1.1362,             0.00043447,             0.00043447,             0.00043447
                     10,                 2.4689,                 2.1722,                0.98908,                0.05693,                0.17535,                0.07308,                0.02715,                 2.3182,                 8.5869,                 1.1135,             0.00048323,             0.00048323,             0.00048323
                     11,                 2.3986,                 2.0859,                 1.0463,                0.07351,                0.22653,                0.05635,                0.02135,                 2.2736,                 11.956,                 1.0832,             0.00053169,             0.00053169,             0.00053169
                     12,                 2.3249,                 1.9533,                0.99997,                0.09452,                0.19524,                0.05843,                0.01993,                 2.4791,                 11.014,                 1.1044,             0.00057982,             0.00057982,             0.00057982
                     13,                 2.4969,                 2.2379,                 1.1397,                 0.1735,                0.28342,                0.18088,                0.05473,                 2.3781,                 5.7903,                  1.072,             0.00062759,             0.00062759,             0.00062759
                     14,                 2.3885,                 2.0045,                 1.0336,                0.22709,                0.31972,                 0.2493,                0.08464,                 2.2108,                 5.4859,                 1.0753,             0.00067496,             0.00067496,             0.00067496
                     15,                 2.2914,                 1.7731,                  1.033,                0.21918,                0.21553,                0.19499,                0.07474,                 2.1628,                 3.3601,                 1.0505,             0.00072192,             0.00072192,             0.00072192
                     16,                 2.0652,                 1.7195,                 1.0191,                0.47768,                0.23995,                0.20186,                0.07577,                 2.1789,                 4.2683,                 1.0783,             0.00076842,             0.00076842,             0.00076842
                     17,                 2.2846,                  1.844,                 1.0619,                0.46309,                0.41095,                0.21974,                0.07591,                 2.1945,                    3.6,                 1.0567,             0.00081444,             0.00081444,             0.00081444
