                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7809,                 28.114,                 3.5565,                      0,                      0,                      0,                      0,                 6.6809,                    229,                 3.4714,                0.09703,                  3e-05,                  3e-05
                      2,                 4.5349,                 21.307,                 2.6639,                      0,                      0,                      0,                      0,                 6.6206,                 215.45,                 3.4445,                0.09307,             6.9992e-05,             6.9992e-05
                      3,                 4.5024,                 26.134,                 2.6116,                      0,                      0,                      0,                      0,                 6.5012,                 67.549,                 3.5894,                0.08911,             0.00010995,             0.00010995
                      4,                 4.4008,                 8.1603,                 2.0994,                0.76956,                   0.05,                0.01309,                0.00306,                 3.1941,                 4.7005,                 1.3616,                0.08515,             0.00014985,             0.00014985
                      5,                 2.6167,                 3.5562,                 1.0628,                0.00387,                0.07083,                 0.0032,                0.00082,                  3.397,                 5.1959,                 1.4543,                0.08119,             0.00018967,             0.00018967
                      6,                 3.0796,                 3.4754,                 1.2189,                0.03281,                 0.1604,                0.02368,                0.00732,                 3.1562,                 3.7988,                 1.3922,               0.077229,             0.00022938,             0.00022938
                      7,                 2.1418,                 2.6393,                0.86975,                0.53745,                0.10261,                0.02105,                0.00557,                 3.1964,                 3.7598,                 1.2899,               0.073269,             0.00026895,             0.00026895
                      8,                 2.6859,                 2.7183,                 1.1733,                0.53188,                 0.1143,                0.03046,                0.00718,                 3.4202,                 3.4027,                 1.4827,               0.069308,             0.00030835,             0.00030835
                      9,                 2.8994,                 2.7804,                 1.3171,                0.56685,                0.19903,                0.06582,                0.01623,                  2.965,                 3.7149,                 1.2869,               0.065348,             0.00034757,             0.00034757
                     10,                 2.5473,                 2.4479,                 1.0133,                0.28691,                 0.2229,                0.06435,                 0.0209,                 2.5277,                 3.2849,                  1.148,               0.061387,             0.00038658,             0.00038658
