                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.397,                 33.164,                 3.1831,                      0,                      0,                      0,                      0,                 6.6855,                 239.73,                 3.4508,                0.09901,                  1e-05,                  1e-05
                      2,                 6.1768,                 38.169,                 3.5123,                      0,                      0,                      0,                      0,                 6.6733,                 235.42,                 3.4699,                0.09703,             2.9997e-05,             2.9997e-05
                      3,                 5.8865,                 24.921,                 3.4333,                      0,                      0,                      0,                      0,                 6.6434,                 232.08,                 3.4852,                0.09505,             4.9978e-05,             4.9978e-05
                      4,                  5.656,                 26.149,                 3.2519,                      0,                      0,                      0,                      0,                 6.5997,                 221.44,                 3.4762,                0.09307,             6.9932e-05,             6.9932e-05
                      5,                 5.7194,                 26.603,                 3.5142,                      0,                      0,                      0,                      0,                 6.5744,                 220.11,                 3.4658,                0.09109,             8.9844e-05,             8.9844e-05
                      6,                 5.9973,                 27.765,                 3.4736,                      0,                      0,                      0,                      0,                 5.3869,                 20.156,                 2.0972,                0.08911,              0.0001097,              0.0001097
                      7,                 4.6986,                 7.7655,                 2.2626,                 0.7679,                   0.05,                0.01135,                0.00321,                 3.4069,                 7.2117,                 1.4786,               0.087129,             0.00012949,             0.00012949
                      8,                 3.6275,                 3.9278,                 1.5159,                0.77299,                0.12895,                0.01671,                 0.0042,                 2.9903,                 5.5129,                 1.3445,               0.085149,              0.0001492,              0.0001492
                      9,                 3.4757,                 3.0391,                   1.45,                0.77209,                0.07368,                0.01608,                0.00411,                 2.8685,                 4.2572,                 1.3132,               0.083169,             0.00016882,             0.00016882
                     10,                 3.1798,                 2.7245,                 1.3077,                0.77245,                0.09474,                0.01621,                 0.0051,                 2.7945,                 4.5727,                 1.2764,               0.081188,             0.00018833,             0.00018833
                     11,                 2.9566,                 2.5618,                 1.2992,                0.00968,                0.16053,                0.01519,                0.00548,                  2.714,                 4.9471,                 1.2665,               0.079208,             0.00020773,             0.00020773
                     12,                 2.7995,                 2.6061,                 1.1946,                0.01213,                0.16053,                0.01613,                0.00638,                 2.6655,                 5.0411,                 1.2319,               0.077227,             0.00022699,             0.00022699
                     13,                 2.8249,                 2.5308,                 1.1159,                0.01228,                0.14737,                0.01378,                0.00503,                 2.6991,                 5.0729,                 1.2247,               0.075246,             0.00024611,             0.00024611
                     14,                 2.7633,                 2.5796,                   1.18,                0.00507,                0.15526,                0.00805,                0.00291,                  2.669,                 4.8789,                 1.2207,               0.073265,             0.00026508,             0.00026508
                     15,                 2.6798,                 2.4202,                  1.129,                0.00384,                0.14474,                0.00752,                0.00253,                 2.6598,                 4.9626,                 1.2155,               0.071284,             0.00028387,             0.00028387
                     16,                 2.5956,                 2.3465,                 1.1185,                0.51423,                0.01947,                0.01365,                0.00416,                 2.7216,                 4.6407,                 1.2083,               0.069302,             0.00030249,             0.00030249
                     17,                 2.5463,                 2.2432,                 1.0908,                0.26811,                0.03199,                0.00984,                0.00348,                  2.863,                 4.9117,                 1.1867,               0.067321,             0.00032091,             0.00032091
                     18,                 2.6624,                 2.2577,                 1.1011,                0.51797,                0.01316,                0.01141,                0.00228,                 2.9969,                 4.5181,                 1.2262,               0.065339,             0.00033913,             0.00033913
                     19,                 2.5983,                 2.1671,                 1.1049,                0.26542,                0.01053,                0.00831,                0.00237,                 2.9974,                 4.4084,                 1.2508,               0.063357,             0.00035714,             0.00035714
                     20,                 2.6096,                 2.0888,                 1.0441,                0.30429,                0.02357,                0.01045,                0.00307,                 2.9059,                  4.809,                 1.2008,               0.061375,             0.00037492,             0.00037492
                     21,                  2.528,                  2.113,                 1.0546,                0.56007,                0.04189,                0.02594,                0.00622,                 2.8805,                 4.3928,                 1.2076,               0.059392,             0.00039245,             0.00039245
                     22,                 2.5305,                  2.002,                 1.0998,                 0.3157,                0.10936,                0.03114,                0.00798,                 3.0187,                 3.5187,                 1.2833,                0.05741,             0.00040974,             0.00040974
                     23,                 2.3918,                 1.9038,                 1.0664,                0.33433,                0.16903,                0.05244,                0.01306,                 3.1052,                 3.1552,                 1.3683,               0.055427,             0.00042677,             0.00042677
                     24,                 2.4985,                 1.8833,                 1.1279,                0.43077,                0.14747,                0.06778,                0.01759,                 2.9074,                 2.8956,                 1.2695,               0.053444,             0.00044353,             0.00044353
