                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8327,                 14.175,                 3.0396,                      0,                      0,                      0,                      0,                 6.2792,                 34.494,                 2.8289,               0.000375,               0.000375,               0.000375
                      2,                 5.8293,                 13.149,                 2.9733,                      0,                      0,                      0,                      0,                 6.7001,                 24.876,                 2.9845,             0.00076242,             0.00076242,             0.00076242
                      3,                 5.9169,                 13.507,                 3.0275,                      0,                      0,                      0,                      0,                 6.6239,                 20.816,                 2.9343,              0.0011495,              0.0011495,              0.0011495
                      4,                 5.2443,                 15.486,                 2.5682,                      0,                      0,                      0,                      0,                  4.175,                    inf,                  2.195,              0.0012488,              0.0012488,              0.0012488
                      5,                 4.1636,                 18.475,                 1.7309,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012478,              0.0012478,              0.0012478
                      6,                 3.7318,                  17.63,                 1.5373,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012466,              0.0012466,              0.0012466
                      7,                 3.6477,                 4.6717,                 1.5626,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                      8,                 3.9595,                 4.7832,                 1.6836,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012434,              0.0012434,              0.0012434
                      9,                 3.7232,                 3.9813,                 1.5907,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012413,              0.0012413,              0.0012413
                     10,                 3.6824,                 3.6425,                 1.6096,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001239,               0.001239,               0.001239
                     11,                 3.6574,                 3.4569,                 1.5792,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012365,              0.0012365,              0.0012365
                     12,                  3.303,                 3.3229,                 1.3842,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012337,              0.0012337,              0.0012337
                     13,                 3.3873,                 3.1564,                 1.4141,                      0,                      0,                      0,                      0,                0.92168,                    nan,                0.48279,              0.0012306,              0.0012306,              0.0012306
                     14,                 3.2471,                 2.8535,                 1.3492,                0.01711,                0.12442,                0.01598,                0.00411,                 3.2475,                 8.7086,                 1.3559,              0.0012272,              0.0012272,              0.0012272
                     15,                 3.0783,                 2.7267,                 1.3049,                0.01225,                0.10526,                0.01957,                0.00491,                 3.0776,                 3.4865,                 1.3046,              0.0012236,              0.0012236,              0.0012236
                     16,                 3.0056,                 2.7123,                  1.247,                0.00896,                0.34256,                0.02929,                0.00752,                 2.9743,                 2.9612,                 1.3011,              0.0012197,              0.0012197,              0.0012197
                     17,                 3.0541,                 2.8331,                 1.2563,                0.26205,                0.03989,                0.01331,                0.00297,                 3.2903,                 3.5835,                 1.3838,              0.0012156,              0.0012156,              0.0012156
                     18,                 2.9789,                 2.8068,                 1.2467,                0.26205,                0.03989,                0.01331,                0.00297,                 3.2903,                 3.5835,                 1.3838,              0.0012112,              0.0012112,              0.0012112
                     19,                 2.9738,                 2.7472,                 1.2373,                0.00551,                0.23248,                0.01559,                0.00372,                 2.7762,                 3.7351,                 1.2358,              0.0012065,              0.0012065,              0.0012065
                     20,                 2.9559,                 2.7441,                 1.2456,                0.29347,                0.16301,                0.03033,                0.00803,                 2.8761,                 2.9485,                 1.2571,              0.0012017,              0.0012017,              0.0012017
                     21,                 2.9093,                 2.7749,                  1.214,                0.03272,                 0.1068,                0.03599,                   0.01,                 2.8967,                 3.4868,                 1.2644,              0.0011965,              0.0011965,              0.0011965
                     22,                 2.9762,                 2.8014,                 1.2405,                0.52819,                0.12037,                0.03702,                0.01153,                 2.9242,                  2.927,                 1.2893,              0.0011911,              0.0011911,              0.0011911
                     23,                 2.9747,                 2.7719,                 1.2644,                0.27945,                0.18562,                0.03753,                0.01113,                 2.8328,                  2.763,                 1.2668,              0.0011855,              0.0011855,              0.0011855
                     24,                 2.8575,                 2.7291,                  1.206,                0.27124,                0.25899,                0.02695,                 0.0082,                 2.9071,                 2.7065,                 1.3157,              0.0011796,              0.0011796,              0.0011796
                     25,                 2.9794,                 2.6462,                 1.2782,                0.27987,                0.14332,                0.02971,                0.00923,                 2.8745,                 2.7132,                 1.2887,              0.0011735,              0.0011735,              0.0011735
                     26,                 2.8787,                 2.6017,                 1.2277,                0.00821,                0.23026,                0.02564,                0.00714,                 2.8914,                 3.3523,                 1.2569,              0.0011671,              0.0011671,              0.0011671
                     27,                 2.8154,                 2.5991,                  1.228,                  0.014,                0.33287,                0.02889,                0.00605,                 2.9055,                 3.2037,                 1.2668,              0.0011605,              0.0011605,              0.0011605
                     28,                 2.9043,                 2.6282,                 1.2945,                0.02109,                0.41106,                0.03934,                0.00986,                 2.7742,                 2.9614,                 1.2162,              0.0011537,              0.0011537,              0.0011537
                     29,                  2.911,                 2.6442,                 1.1972,                 0.0071,                0.29174,                 0.0149,                0.00445,                  2.781,                 3.3925,                 1.2222,              0.0011466,              0.0011466,              0.0011466
                     30,                  2.909,                 2.5849,                 1.2647,                0.00836,                 0.3374,                0.03284,                0.00909,                 2.8055,                 3.1537,                 1.2208,              0.0011393,              0.0011393,              0.0011393
                     31,                 2.8498,                 2.5014,                 1.1761,                0.03156,                0.40233,                0.05195,                 0.0119,                 2.7911,                 2.9199,                 1.2145,              0.0011318,              0.0011318,              0.0011318
                     32,                 2.8543,                 2.5652,                 1.1957,                0.01387,                0.48398,                0.03516,                0.01115,                 2.7738,                 2.7393,                 1.2118,              0.0011241,              0.0011241,              0.0011241
                     33,                 2.7541,                  2.483,                 1.1581,                0.01163,                0.51765,                0.04216,                0.01421,                 2.7097,                  2.639,                 1.1915,              0.0011162,              0.0011162,              0.0011162
                     34,                 2.8015,                 2.5312,                 1.2016,                0.01169,                 0.4926,                0.03926,                0.01353,                 2.7655,                 2.6799,                  1.212,               0.001108,               0.001108,               0.001108
                     35,                 2.6899,                 2.4949,                 1.1758,                0.27598,                0.31172,                0.04246,                0.01442,                 2.6786,                 2.6028,                 1.1811,              0.0010996,              0.0010996,              0.0010996
                     36,                 2.7174,                 2.4598,                 1.1464,                0.02179,                0.47325,                 0.0472,                0.01476,                 2.6254,                 2.6529,                 1.1728,              0.0010911,              0.0010911,              0.0010911
                     37,                 2.7687,                 2.4983,                 1.1627,                0.01246,                0.54963,                0.04287,                0.01565,                 2.6387,                 2.6616,                  1.178,              0.0010823,              0.0010823,              0.0010823
                     38,                 2.7346,                 2.4987,                  1.235,                0.01342,                0.51439,                 0.0388,                0.01499,                 2.6858,                 2.6966,                 1.2071,              0.0010733,              0.0010733,              0.0010733
                     39,                  2.741,                 2.4394,                 1.1214,                0.01257,                0.47672,                0.03276,                0.01291,                 2.6664,                 2.7266,                 1.1913,              0.0010642,              0.0010642,              0.0010642
                     40,                 2.7145,                 2.4519,                 1.2011,                0.01311,                0.56963,                0.03748,                0.01438,                 2.5967,                 2.5895,                 1.1686,              0.0010548,              0.0010548,              0.0010548
                     41,                   2.73,                 2.4466,                 1.1735,                0.01227,                0.57078,                0.04677,                0.01724,                  2.631,                 2.5553,                 1.1757,              0.0010453,              0.0010453,              0.0010453
                     42,                  2.682,                 2.3995,                 1.1289,                0.01211,                0.55395,                 0.0486,                0.01401,                   2.62,                 2.7702,                 1.1773,              0.0010356,              0.0010356,              0.0010356
                     43,                 2.7515,                 2.3815,                 1.1304,                0.01441,                0.56248,                0.03742,                  0.012,                 2.6457,                 2.8787,                 1.1926,              0.0010257,              0.0010257,              0.0010257
                     44,                 2.7101,                 2.3864,                 1.1695,                 0.0124,                0.54269,                0.03564,                0.01161,                 2.7134,                 3.0125,                 1.2208,              0.0010156,              0.0010156,              0.0010156
                     45,                  2.687,                  2.326,                  1.153,                0.01075,                0.47682,                0.03644,                0.01348,                 2.7415,                 2.8671,                  1.234,              0.0010053,              0.0010053,              0.0010053
                     46,                 2.6179,                 2.2821,                 1.1535,                0.26568,                0.22912,                0.02641,                0.00839,                 3.0759,                 3.3316,                 1.3752,             0.00099494,             0.00099494,             0.00099494
                     47,                 2.6515,                 2.3273,                 1.1423,                0.52496,                 0.1364,                  0.026,                0.00736,                 3.2022,                 3.5356,                 1.4764,             0.00098438,             0.00098438,             0.00098438
                     48,                 2.6164,                 2.2277,                 1.1763,                0.00311,                0.12333,                0.01849,                0.00292,                 3.6416,                  4.543,                 1.7351,             0.00097366,             0.00097366,             0.00097366
                     49,                  2.561,                  2.176,                 1.1221,                0.00125,                0.04146,                0.00167,                 0.0003,                 3.5619,                 3.6004,                  1.441,             0.00096279,             0.00096279,             0.00096279
                     50,                 2.6471,                   2.19,                 1.1589,                0.00125,                0.04146,                0.00167,                 0.0003,                 3.5619,                 3.6004,                  1.441,             0.00095178,             0.00095178,             0.00095178
                     51,                 2.6625,                 2.1677,                 1.1846,                0.00017,                0.00263,                0.00012,                  1e-05,                 2.5061,                 2.0925,                0.94422,             0.00094062,             0.00094062,             0.00094062
                     52,                 2.7332,                 2.1727,                 1.1074,                0.00073,                0.00789,                0.00061,                 0.0002,                 4.0692,                 4.6272,                 1.8238,             0.00092934,             0.00092934,             0.00092934
                     53,                 2.5625,                 2.0681,                 1.0965,                 0.0007,                0.00789,                0.00043,                 0.0002,                 3.0775,                 3.2663,                 1.2725,             0.00091791,             0.00091791,             0.00091791
                     54,                 2.5659,                  2.087,                 1.1186,                0.00062,                0.00526,                0.00033,                0.00013,                 3.2572,                 3.7083,                 1.2863,             0.00090637,             0.00090637,             0.00090637
                     55,                 2.6267,                 2.1272,                 1.1469,                0.00093,                0.00526,                 0.0005,                 0.0002,                 3.3019,                 3.4194,                 1.2515,              0.0008947,              0.0008947,              0.0008947
                     56,                 2.6185,                 2.0281,                 1.1291,                0.00093,                0.00526,                 0.0005,                 0.0002,                 2.6027,                 2.1681,                0.86024,             0.00088292,             0.00088292,             0.00088292
                     57,                   2.59,                 2.0811,                 1.0939,                0.00052,                0.00263,                0.00029,                0.00011,                 3.4655,                 3.2031,                 1.4352,             0.00087103,             0.00087103,             0.00087103
                     58,                 2.5702,                 2.1716,                 1.0969,                0.00163,                0.00989,                0.00085,                0.00015,                 3.7376,                 4.1099,                 1.6577,             0.00085903,             0.00085903,             0.00085903
                     59,                 2.5206,                 2.1816,                 1.1027,                0.00417,                0.07377,                 0.0032,                0.00121,                 3.4066,                 3.4783,                 1.5268,             0.00084693,             0.00084693,             0.00084693
                     60,                 2.4745,                 2.1178,                 1.0787,                0.00113,                0.01021,                0.00059,                  6e-05,                 3.3321,                 3.1199,                 1.2268,             0.00083474,             0.00083474,             0.00083474
                     61,                 2.5173,                 2.0901,                 1.0861,                 0.0009,                0.00526,                0.00047,                  9e-05,                 3.5303,                 3.2925,                 1.5021,             0.00082245,             0.00082245,             0.00082245
                     62,                 2.5221,                 2.0587,                 1.1265,                0.00671,                0.01947,                0.00396,                0.00182,                 3.3838,                 3.8739,                 1.5395,             0.00081009,             0.00081009,             0.00081009
                     63,                 2.4604,                 2.1036,                 1.0953,                0.01954,                0.13565,                0.01731,                0.00705,                  3.317,                 4.0692,                 1.4351,             0.00079764,             0.00079764,             0.00079764
                     64,                 2.4347,                 1.9617,                 1.0651,                0.02022,                0.32948,                0.02388,                0.00819,                 2.8797,                 3.5054,                 1.3066,             0.00078513,             0.00078513,             0.00078513
                     65,                 2.4419,                  2.019,                 1.0774,                0.53674,                0.09766,                0.03107,                0.01052,                 2.8647,                 2.7833,                 1.2409,             0.00077254,             0.00077254,             0.00077254
                     66,                 2.4218,                 2.0246,                 1.0907,                 0.2863,                0.13755,                0.03285,                 0.0115,                  2.909,                 2.6153,                 1.2544,              0.0007599,              0.0007599,              0.0007599
                     67,                 2.3891,                 1.9793,                 1.0583,                0.28227,                 0.1246,                 0.0247,                0.00817,                 2.9202,                 2.6253,                 1.2481,             0.00074719,             0.00074719,             0.00074719
                     68,                  2.496,                 2.0449,                 1.0764,                0.53195,                0.17712,                0.02486,                0.00747,                 2.8974,                 2.5855,                 1.2324,             0.00073444,             0.00073444,             0.00073444
                     69,                 2.3609,                 1.9821,                 1.0387,                0.53649,                0.12639,                0.02672,                0.00796,                  2.899,                 2.5696,                 1.2319,             0.00072164,             0.00072164,             0.00072164
                     70,                 2.3247,                 1.9588,                 1.0461,                0.54404,                0.14373,                0.03696,                0.01073,                 2.8939,                 2.5469,                 1.2446,              0.0007088,              0.0007088,              0.0007088
                     71,                   2.36,                 1.8914,                 1.0625,                0.54915,                0.12312,                0.03517,                0.01077,                 2.9467,                  2.669,                 1.2665,             0.00069593,             0.00069593,             0.00069593
                     72,                 2.3539,                 1.8926,                 1.0644,                0.54406,                0.10629,                0.03123,                0.00932,                 2.9258,                 2.6771,                 1.2493,             0.00068303,             0.00068303,             0.00068303
                     73,                 2.2523,                 1.8313,                 1.0449,                0.54788,                0.11187,                0.03188,                0.00925,                 2.8993,                 2.7314,                 1.2357,              0.0006701,              0.0006701,              0.0006701
                     74,                 2.3143,                 1.8709,                 1.0449,                0.55412,                0.08745,                0.03374,                0.01003,                 2.9207,                 2.9088,                 1.2457,             0.00065716,             0.00065716,             0.00065716
                     75,                 2.2517,                 1.8545,                 1.0529,                 0.5579,                 0.1145,                0.03764,                 0.0108,                  2.922,                 2.8726,                 1.2332,             0.00064421,             0.00064421,             0.00064421
                     76,                 2.2765,                 1.8274,                 1.0363,                 0.5514,                0.09829,                0.03363,                0.00994,                 2.9074,                 2.7433,                 1.2194,             0.00063125,             0.00063125,             0.00063125
                     77,                 2.3258,                  1.868,                  1.038,                0.54413,                0.09135,                0.02985,                0.00912,                 2.9438,                 2.7944,                 1.2293,             0.00061829,             0.00061829,             0.00061829
                     78,                 2.3556,                 1.8936,                 1.0876,                0.54464,                0.09303,                0.02852,                0.00842,                 2.9783,                 2.8147,                 1.2415,             0.00060534,             0.00060534,             0.00060534
                     79,                 2.3117,                 1.8903,                  1.062,                0.54567,                0.10619,                 0.0319,                0.01013,                 2.9707,                 2.8281,                 1.2426,              0.0005924,              0.0005924,              0.0005924
                     80,                  2.254,                 1.8404,                 1.0177,                0.53826,                0.10651,                 0.0341,                0.01136,                 2.9321,                 2.8634,                  1.236,             0.00057947,             0.00057947,             0.00057947
                     81,                  2.349,                 1.8588,                 1.0503,                0.53965,                0.09924,                 0.0333,                0.01072,                 2.9353,                 2.9097,                 1.2355,             0.00056657,             0.00056657,             0.00056657
                     82,                 2.3022,                 1.8268,                 1.0613,                0.53965,                0.09924,                 0.0333,                0.01072,                 2.9353,                 2.9097,                 1.2355,              0.0005537,              0.0005537,              0.0005537
                     83,                 2.3106,                  1.846,                 1.0352,                0.54086,                 0.0943,                0.03095,                 0.0106,                 2.9426,                 2.9335,                  1.239,             0.00054086,             0.00054086,             0.00054086
                     84,                 2.2825,                 1.8443,                 1.0508,                0.53791,                0.06167,                0.02247,                0.00801,                 2.9873,                 3.0076,                 1.2504,             0.00052806,             0.00052806,             0.00052806
                     85,                 2.2421,                 1.8205,                 1.0288,                0.53212,                 0.0663,                0.02293,                0.00755,                 3.0074,                 3.0443,                 1.2565,             0.00051531,             0.00051531,             0.00051531
                     86,                 2.2939,                 1.8459,                  1.045,                0.54348,                0.06862,                0.02777,                0.00928,                 3.0161,                 3.0796,                 1.2594,              0.0005026,              0.0005026,              0.0005026
                     87,                 2.3322,                 1.8471,                 1.0393,                0.54268,                0.04284,                 0.0291,                0.00953,                 3.0168,                 3.3426,                 1.2723,             0.00048996,             0.00048996,             0.00048996
                     88,                  2.273,                 1.8393,                 1.0243,                 0.5506,                0.04547,                0.03014,                0.00946,                 2.9886,                 3.2916,                 1.2552,             0.00047737,             0.00047737,             0.00047737
                     89,                 2.3225,                 2.0204,                 1.0354,                0.57244,                0.04675,                0.02106,                0.00612,                  2.946,                 3.4421,                 1.2528,             0.00046486,             0.00046486,             0.00046486
                     90,                 2.2519,                 1.7761,                 1.0364,                0.55747,                0.04715,                0.02409,                0.00706,                 2.9833,                 3.2956,                 1.2455,             0.00045241,             0.00045241,             0.00045241
                     91,                 2.2633,                 1.7933,                 1.0354,                0.53443,                0.04284,                0.01921,                0.00632,                 2.9977,                 3.3225,                  1.248,             0.00044005,             0.00044005,             0.00044005
                     92,                 2.2466,                 1.7592,                 1.0284,                0.53954,                0.05504,                0.02199,                0.00699,                 3.0124,                 3.3716,                 1.2502,             0.00042776,             0.00042776,             0.00042776
                     93,                 2.2593,                 1.8121,                 1.0678,                0.53647,                0.06525,                0.02449,                0.00771,                  3.004,                 3.2385,                 1.2548,             0.00041557,             0.00041557,             0.00041557
                     94,                 2.2386,                 1.8423,                  1.032,                0.54772,                0.06757,                0.02477,                 0.0074,                 3.0382,                 3.1531,                 1.2675,             0.00040347,             0.00040347,             0.00040347
                     95,                 2.2726,                 1.8014,                 1.0484,                0.54769,                0.04452,                0.02519,                0.00781,                  3.051,                 3.1441,                 1.2753,             0.00039147,             0.00039147,             0.00039147
                     96,                 2.2614,                 1.7747,                 1.0334,                0.54246,                0.04946,                0.02657,                0.00908,                 3.0557,                 3.1403,                 1.2811,             0.00037958,             0.00037958,             0.00037958
                     97,                 2.2529,                 1.7838,                 1.0506,                0.54642,                0.04697,                0.02501,                0.00865,                 3.0396,                 3.2952,                 1.2766,              0.0003678,              0.0003678,              0.0003678
                     98,                 2.1488,                 1.7018,                  1.012,                0.57021,                0.04452,                 0.0276,                0.00905,                 3.0249,                 3.5254,                 1.2765,             0.00035613,             0.00035613,             0.00035613
                     99,                 2.1993,                 1.7248,                 1.0266,                0.58652,                 0.0422,                 0.0253,                0.00829,                 3.0393,                 3.7051,                 1.2842,             0.00034459,             0.00034459,             0.00034459
                    100,                  2.186,                 1.7357,                 1.0218,                0.58044,                0.04747,                0.02747,                0.00869,                 3.0436,                 3.7116,                 1.2874,             0.00033316,             0.00033316,             0.00033316
                    101,                 2.1783,                 1.7198,                 1.0134,                0.56259,                 0.0442,                0.02816,                 0.0082,                  3.055,                 3.5787,                 1.2844,             0.00032187,             0.00032187,             0.00032187
                    102,                 2.1935,                 1.7154,                 1.0166,                0.54402,                0.04975,                0.02348,                0.00727,                 3.0855,                 3.4255,                 1.2897,             0.00031072,             0.00031072,             0.00031072
                    103,                 2.1795,                 1.7492,                 1.0308,                0.53789,                0.06199,                0.02123,                 0.0064,                 3.0922,                  3.289,                 1.2908,             0.00029971,             0.00029971,             0.00029971
                    104,                 2.1515,                 1.7261,                 0.9928,                0.53813,                0.05441,                0.02004,                0.00617,                 3.0889,                 3.2858,                 1.2913,             0.00028884,             0.00028884,             0.00028884
                    105,                 2.1038,                 1.9638,                 1.0028,                0.54467,                0.05673,                0.02746,                0.00801,                 3.1022,                 3.3645,                 1.2945,             0.00027812,             0.00027812,             0.00027812
                    106,                 2.1379,                 1.6681,                0.99108,                0.57781,                0.05241,                0.02835,                0.00892,                  3.106,                 3.4934,                 1.2996,             0.00026756,             0.00026756,             0.00026756
                    107,                 2.1845,                 1.7131,                 1.0275,                0.53654,                 0.0501,                0.02008,                0.00619,                 3.1382,                 3.7178,                 1.3091,             0.00025715,             0.00025715,             0.00025715
                    108,                 2.1146,                  1.661,                 0.9989,                0.53841,                0.02142,                0.01728,                0.00617,                 3.1603,                 3.9438,                  1.322,             0.00024691,             0.00024691,             0.00024691
                    109,                 2.1264,                 1.7196,                 1.0092,                0.52551,                0.01516,                 0.0116,                0.00413,                 3.2024,                 3.9695,                 1.3317,             0.00023684,             0.00023684,             0.00023684
                    110,                 2.0854,                  1.697,                 1.0225,                0.51978,                0.01516,                0.01064,                0.00377,                 3.1974,                 3.9856,                 1.3252,             0.00022695,             0.00022695,             0.00022695
                    111,                  2.095,                 1.6068,                 1.0219,                0.53005,                0.01747,                0.01083,                0.00353,                 3.1776,                 3.8923,                 1.3185,             0.00021723,             0.00021723,             0.00021723
                    112,                 2.0067,                 1.6063,                 1.0027,                0.51213,                   0.03,                0.00982,                0.00354,                 3.1723,                 3.9231,                 1.3127,             0.00020769,             0.00020769,             0.00020769
                    113,                 2.1086,                 1.6322,                 1.0236,                0.51961,                0.02273,                0.01068,                0.00423,                 3.1223,                 3.9147,                 1.3026,             0.00019833,             0.00019833,             0.00019833
                    114,                 2.1197,                  1.627,                 1.0105,                0.51961,                0.02273,                0.01068,                0.00423,                 3.1223,                 3.9147,                 1.3026,             0.00018917,             0.00018917,             0.00018917
                    115,                 2.1172,                 1.6451,                 1.0113,                 0.5162,                0.04052,                0.00972,                0.00403,                 3.1175,                 3.8722,                  1.307,              0.0001802,              0.0001802,              0.0001802
                    116,                   2.17,                 1.6976,                 1.0268,                0.51652,                0.04052,                0.00933,                0.00376,                 3.0902,                 3.8718,                 1.3021,             0.00017143,             0.00017143,             0.00017143
                    117,                 2.2125,                 1.6948,                 1.0325,                0.51663,                0.04052,                 0.0088,                0.00341,                 3.0974,                 4.0009,                 1.3077,             0.00016286,             0.00016286,             0.00016286
                    118,                  2.136,                 1.6098,                 1.0081,                0.51509,                0.03526,                 0.0083,                 0.0033,                 3.0997,                 4.1046,                 1.3094,             0.00015449,             0.00015449,             0.00015449
                    119,                 2.1748,                 1.7292,                 1.0133,                0.51495,                0.02768,                  0.008,                 0.0029,                 3.0949,                  4.218,                 1.3181,             0.00014634,             0.00014634,             0.00014634
                    120,                 2.0432,                 1.6566,                 1.0014,                0.51575,                0.02505,                0.00812,                0.00303,                 3.1162,                 4.3593,                 1.3313,              0.0001384,              0.0001384,              0.0001384
                    121,                 2.1438,                 1.6937,                 1.0156,                0.51288,                0.02242,                0.00777,                0.00292,                 3.1397,                 4.3434,                 1.3354,             0.00013067,             0.00013067,             0.00013067
                    122,                 2.1251,                 1.6511,                 1.0332,                0.52337,                0.02242,                0.00949,                0.00323,                 3.1038,                 4.2056,                 1.3255,             0.00012316,             0.00012316,             0.00012316
                    123,                 2.1741,                 1.6994,                 1.0436,                0.51558,                0.02242,                0.01017,                0.00351,                 3.0821,                 4.1339,                 1.3143,             0.00011588,             0.00011588,             0.00011588
                    124,                 2.1316,                 1.6487,                 1.0148,                0.51745,                0.02736,                0.01022,                0.00396,                 3.0699,                 4.0732,                 1.3053,             0.00010882,             0.00010882,             0.00010882
                    125,                 2.1545,                 1.6911,                 1.0281,                 0.5232,                0.02736,                0.01252,                0.00459,                 3.0569,                 3.9201,                 1.2933,             0.00010199,             0.00010199,             0.00010199
                    126,                 2.1217,                 1.6542,                 1.0008,                0.52288,                 0.0402,                0.01278,                0.00437,                   3.06,                 3.7462,                 1.2869,             9.5397e-05,             9.5397e-05,             9.5397e-05
                    127,                 2.0584,                 1.5932,                0.99413,                0.52523,                0.04547,                0.01447,                0.00466,                  3.067,                 3.6388,                 1.2861,             8.9035e-05,             8.9035e-05,             8.9035e-05
                    128,                 2.0495,                 1.5802,                0.99172,                0.52028,                0.04547,                0.01489,                0.00484,                 3.0824,                  3.598,                 1.2889,             8.2912e-05,             8.2912e-05,             8.2912e-05
                    129,                 2.0537,                 1.6535,                0.99567,                0.52098,                0.05073,                0.01569,                0.00481,                 3.0698,                 3.5589,                 1.2867,             7.7028e-05,             7.7028e-05,             7.7028e-05
                    130,                 2.0683,                 1.5755,                0.99033,                0.52282,                0.05223,                0.01649,                0.00499,                 3.0659,                 3.5684,                 1.2877,             7.1388e-05,             7.1388e-05,             7.1388e-05
                    131,                 2.1025,                 1.6126,                 1.0007,                0.52023,                0.05599,                0.01663,                0.00492,                 3.0599,                 3.5421,                 1.2826,             6.5994e-05,             6.5994e-05,             6.5994e-05
                    132,                 2.1221,                 1.5813,                0.98262,                0.52537,                0.06094,                0.01775,                0.00542,                 3.0445,                  3.522,                  1.279,             6.0847e-05,             6.0847e-05,             6.0847e-05
                    133,                 2.0631,                 1.6276,                0.98535,                0.52374,                0.05831,                 0.0177,                0.00546,                  3.047,                  3.536,                 1.2799,             5.5951e-05,             5.5951e-05,             5.5951e-05
                    134,                 1.9773,                 1.5701,                0.96138,                0.52655,                0.05831,                0.01788,                0.00547,                 3.0417,                 3.5402,                  1.279,             5.1307e-05,             5.1307e-05,             5.1307e-05
