                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9406,                 14.549,                 3.0435,                      0,                      0,                      0,                      0,                 6.7491,                  44.52,                 3.0773,                 0.0901,                 0.0001,                 0.0001
                      2,                 4.1845,                 6.4371,                 1.9237,                      0,                      0,                      0,                      0,                 3.0488,                 7.5455,                 1.4088,                0.07921,             0.00020998,             0.00020998
                      3,                  2.692,                 3.4296,                 1.1517,                0.00405,                0.14615,                0.00273,                0.00119,                 2.7756,                    inf,                 1.2391,                0.06832,             0.00031986,             0.00031986
                      4,                 2.4799,                 2.5962,                 1.1137,                0.00919,                0.02105,                0.00477,                  0.002,                 3.4122,                    inf,                 1.5911,                0.05743,             0.00042958,             0.00042958
                      5,                 2.4631,                 2.0852,                 1.1208,                 0.0077,                0.18333,                0.00541,                0.00204,                 3.1068,                  237.3,                 1.4305,               0.046539,             0.00053906,             0.00053906
                      6,                 2.4588,                 2.4177,                 1.0987,                0.00574,                0.20268,                0.00456,                0.00144,                 3.1744,                 21.398,                 1.3747,               0.035648,             0.00064824,             0.00064824
                      7,                 2.5753,                 2.3931,                  1.124,                0.56846,                0.04167,                 0.0283,                0.00695,                  3.041,                 7.2796,                 1.3331,               0.024757,             0.00075703,             0.00075703
                      8,                 2.4178,                 2.1616,                 1.0755,                0.02629,                0.12113,                0.01894,                0.00632,                 2.9146,                 8.9757,                 1.2673,               0.013865,             0.00086538,             0.00086538
                      9,                 2.3393,                 2.0779,                 1.0744,                0.26491,                0.10746,                 0.0126,                  0.004,                 2.8675,                 17.301,                 1.2722,              0.0029732,             0.00097321,             0.00097321
                     10,                 2.4193,                 2.0632,                 1.1101,                0.01726,                0.15387,                0.01631,                0.00546,                 2.7875,                 4.9006,                 1.2663,             0.00099123,             0.00099123,             0.00099123
                     11,                 2.4323,                  2.022,                 1.1316,                0.52188,                0.10283,                0.01849,                0.00565,                 2.8825,                 6.8274,                 1.2556,             0.00098918,             0.00098918,             0.00098918
                     12,                 2.3941,                 1.8917,                 1.0954,                0.26465,                0.11114,                0.01549,                0.00436,                 2.9392,                 7.0018,                 1.2647,             0.00098692,             0.00098692,             0.00098692
                     13,                  2.385,                 1.8355,                 1.0499,                0.01418,                 0.1273,                0.01148,                0.00345,                 2.9221,                 6.5984,                 1.2939,             0.00098445,             0.00098445,             0.00098445
                     14,                 2.3124,                 1.7794,                 1.0695,                0.00808,                0.27657,                0.00828,                0.00269,                 2.8316,                 5.0758,                 1.2304,             0.00098177,             0.00098177,             0.00098177
                     15,                 2.1558,                  1.816,                  1.035,                0.51419,                0.04157,                0.00937,                0.00235,                  2.843,                 4.2258,                 1.2077,             0.00097887,             0.00097887,             0.00097887
                     16,                 2.2222,                 1.9531,                  1.046,                0.01194,                0.31676,                0.01058,                0.00365,                  2.765,                 6.6466,                 1.2031,             0.00097577,             0.00097577,             0.00097577
                     17,                 2.1722,                 2.1403,                 1.0268,                0.00373,                0.01452,                0.00192,                0.00039,                 2.9415,                 118.63,                 1.2475,             0.00097247,             0.00097247,             0.00097247
                     18,                 2.1722,                 1.8924,                 1.0469,                0.00521,                 0.0442,                0.00303,                0.00135,                 3.0601,                  128.2,                 1.3029,             0.00096895,             0.00096895,             0.00096895
                     19,                 2.2332,                 2.0589,                  1.048,                0.26168,                  0.076,                0.01272,                0.00436,                 3.0221,                 22.027,                 1.3091,             0.00096524,             0.00096524,             0.00096524
                     20,                  2.157,                 1.7717,                 1.0167,                0.52021,                0.16082,                0.01928,                  0.006,                 3.0574,                 4.4085,                  1.341,             0.00096132,             0.00096132,             0.00096132
                     21,                 2.2043,                 1.7982,                 1.0842,                0.52517,                 0.0943,                0.01964,                0.00838,                 3.0488,                 3.5355,                 1.3401,             0.00095721,             0.00095721,             0.00095721
                     22,                 2.1459,                 1.7457,                0.99457,                0.52335,                0.07524,                0.01905,                0.00797,                  3.124,                 3.1701,                 1.3242,             0.00095289,             0.00095289,             0.00095289
                     23,                 2.0627,                 1.7353,                0.99327,                0.27692,                0.07356,                0.01787,                0.00708,                 3.1333,                  3.408,                  1.323,             0.00094838,             0.00094838,             0.00094838
                     24,                 2.0977,                 1.7735,                0.98118,                0.26597,                0.04284,                0.01367,                0.00587,                 3.2234,                  3.784,                 1.3744,             0.00094367,             0.00094367,             0.00094367
                     25,                  2.119,                 1.6905,                 1.0081,                0.26773,                0.06788,                0.01352,                0.00522,                 3.2259,                 3.6904,                 1.3749,             0.00093877,             0.00093877,             0.00093877
                     26,                 2.0684,                 1.7143,                 1.0204,                0.26831,                 0.1244,                0.01908,                0.00812,                 3.1543,                 3.4885,                 1.3338,             0.00093368,             0.00093368,             0.00093368
                     27,                 2.0273,                  1.672,                 1.0062,                0.27171,                0.18871,                0.02361,                0.00941,                 3.0966,                 3.3666,                 1.2879,             0.00092841,             0.00092841,             0.00092841
                     28,                 2.0391,                 1.6538,                 1.0125,                0.01184,                0.37317,                0.02242,                0.00776,                 3.0973,                 3.4973,                 1.2761,             0.00092294,             0.00092294,             0.00092294
                     29,                 2.0602,                 1.5874,                 1.0024,                0.01096,                0.32035,                0.01999,                0.00666,                 3.0823,                 3.5819,                 1.2682,              0.0009173,              0.0009173,              0.0009173
                     30,                 2.0613,                 1.5491,                0.98394,                0.00967,                0.28141,                0.01681,                 0.0059,                 3.1309,                 3.6035,                 1.2912,             0.00091147,             0.00091147,             0.00091147
                     31,                 2.1329,                 1.6073,                 1.0088,                0.26592,                0.05967,                0.01637,                0.00669,                 3.1503,                 3.4531,                 1.3444,             0.00090546,             0.00090546,             0.00090546
                     32,                 2.0988,                 1.5866,                 1.0069,                0.26697,                0.05768,                0.01492,                0.00651,                 3.2084,                 3.4366,                 1.3754,             0.00089928,             0.00089928,             0.00089928
                     33,                   2.06,                 1.5124,                0.99803,                0.26064,                0.03389,                0.00994,                0.00333,                 3.2397,                 3.8225,                 1.3777,             0.00089293,             0.00089293,             0.00089293
                     34,                 2.1077,                 1.5486,                0.99484,                0.01442,                0.12345,                0.01326,                0.00403,                 3.1587,                 3.6967,                 1.3357,              0.0008864,              0.0008864,              0.0008864
                     35,                 2.0219,                 1.5838,                 0.9755,                0.26817,                0.05673,                0.01662,                0.00648,                 3.1831,                 3.5171,                 1.3094,             0.00087971,             0.00087971,             0.00087971
                     36,                 2.0188,                 1.5649,                 1.0045,                0.27064,                0.05641,                  0.019,                0.00685,                 3.1989,                 3.3016,                 1.3054,             0.00087286,             0.00087286,             0.00087286
                     37,                 2.0323,                 1.5177,                0.98909,                0.26694,                0.04483,                0.01626,                0.00581,                 3.2197,                  3.323,                 1.3166,             0.00086584,             0.00086584,             0.00086584
                     38,                 2.0572,                 1.5757,                0.99486,                0.26511,                0.04842,                0.01626,                  0.005,                  3.139,                 3.3756,                  1.294,             0.00085866,             0.00085866,             0.00085866
                     39,                 1.8918,                  1.474,                0.94742,                 0.2624,                0.05989,                0.01793,                0.00624,                 3.1375,                 3.2698,                 1.2871,             0.00085133,             0.00085133,             0.00085133
                     40,                 2.0085,                 1.5041,                0.98839,                0.26924,                0.13236,                0.01957,                0.00755,                 3.1573,                  3.129,                  1.294,             0.00084385,             0.00084385,             0.00084385
                     41,                 2.0144,                 1.4605,                0.97008,                0.26746,                 0.0848,                0.01855,                0.00655,                 3.1631,                 3.1932,                 1.3087,             0.00083622,             0.00083622,             0.00083622
                     42,                 1.9376,                 1.4622,                0.95615,                0.26627,                0.09725,                0.01637,                0.00494,                 3.1197,                 3.3461,                 1.2913,             0.00082844,             0.00082844,             0.00082844
                     43,                 1.8649,                  1.456,                0.94535,                0.26266,                0.07483,                0.01414,                0.00473,                 3.1258,                 3.4883,                 1.2851,             0.00082052,             0.00082052,             0.00082052
                     44,                 1.9381,                 1.4658,                0.98555,                  0.263,                0.05936,                0.01373,                0.00525,                 3.0985,                 3.5667,                 1.2776,             0.00081247,             0.00081247,             0.00081247
                     45,                 1.9542,                  1.449,                0.97303,                0.26259,                 0.0442,                0.01324,                0.00472,                 3.1371,                 3.5572,                 1.2944,             0.00080428,             0.00080428,             0.00080428
                     46,                 1.9842,                 1.4283,                0.97229,                 0.2645,                0.04157,                0.01181,                0.00476,                  3.118,                 3.6316,                  1.313,             0.00079595,             0.00079595,             0.00079595
                     47,                 1.8898,                 1.3819,                0.96382,                 0.2613,                0.02505,                0.00595,                0.00199,                 3.1753,                 4.0661,                 1.3329,              0.0007875,              0.0007875,              0.0007875
                     48,                  1.877,                 1.3906,                0.96837,                0.25896,                0.02859,                0.00468,                0.00156,                 3.2756,                 4.2909,                 1.3621,             0.00077893,             0.00077893,             0.00077893
                     49,                 1.8816,                 1.3467,                0.95284,                0.26571,                0.04189,                0.00792,                0.00279,                  3.154,                 3.9998,                 1.3164,             0.00077023,             0.00077023,             0.00077023
                     50,                 1.9394,                 1.3601,                0.95213,                0.27157,                0.05841,                0.01075,                 0.0036,                 3.0736,                 3.7818,                 1.2799,             0.00076142,             0.00076142,             0.00076142
                     51,                 1.9288,                 1.3992,                0.98285,                0.27009,                0.05641,                 0.0124,                0.00424,                 3.0158,                 3.7197,                 1.2669,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.9607,                 1.3854,                0.94068,                0.27005,                0.06304,                0.01362,                 0.0045,                 3.0031,                 3.6416,                 1.2655,             0.00074347,             0.00074347,             0.00074347
                     53,                 1.9471,                 1.4078,                0.97246,                0.27283,                0.07493,                0.01334,                0.00451,                 2.9888,                 3.5635,                 1.2685,             0.00073433,             0.00073433,             0.00073433
