                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9406,                 14.549,                 3.0435,                      0,                      0,                      0,                      0,                 6.7491,                  44.52,                 3.0773,                 0.0901,                 0.0001,                 0.0001
                      2,                 4.3303,                 6.3811,                 1.9627,                0.26361,                0.12269,                0.01056,                0.00228,                 2.9871,                 25.629,                 1.3815,                0.07921,             0.00020998,             0.00020998
                      3,                 2.9697,                 3.4967,                 1.1993,                 0.0009,                0.03704,                0.00042,                  8e-05,                 2.8948,                 55.671,                 1.2434,                0.06832,             0.00031986,             0.00031986
                      4,                 2.5653,                 2.9148,                  1.129,                0.02786,                 0.2607,                0.02259,                 0.0065,                 2.9789,                  59.93,                 1.3218,                0.05743,             0.00042958,             0.00042958
                      5,                  2.466,                 2.4562,                  1.116,                0.02936,                0.14081,                0.02196,                0.00629,                 3.0543,                 17.192,                 1.3246,               0.046539,             0.00053906,             0.00053906
                      6,                 2.5204,                 2.5003,                 1.1103,                0.27428,                0.15765,                0.01967,                 0.0056,                 3.2378,                 18.209,                 1.4026,               0.035648,             0.00064824,             0.00064824
                      7,                 2.5844,                 2.2881,                 1.1597,                0.01432,                0.14271,                0.01132,                0.00381,                 3.0916,                  5.143,                 1.3502,               0.024757,             0.00075703,             0.00075703
                      8,                 2.4236,                 2.1278,                 1.0843,                0.01525,                0.12807,                0.01014,                0.00272,                 3.2353,                 5.8542,                 1.4376,               0.013865,             0.00086538,             0.00086538
                      9,                  2.319,                 2.0726,                 1.0915,                0.26054,                0.04357,                 0.0065,                0.00199,                 3.2436,                 4.0417,                 1.4167,              0.0029732,             0.00097321,             0.00097321
                     10,                 2.3281,                 2.0118,                 1.0833,                0.00558,                0.18417,                0.00454,                0.00144,                 3.3541,                 4.4659,                 1.4467,             0.00099123,             0.00099123,             0.00099123
                     11,                 2.3848,                 1.9645,                 1.1134,                 0.2591,                0.05241,                0.00509,                0.00166,                 3.2792,                 4.9734,                 1.3841,             0.00098918,             0.00098918,             0.00098918
                     12,                 2.2932,                 1.8609,                  1.059,                0.27037,                0.05863,                0.01156,                0.00355,                 3.2043,                 4.1024,                 1.3175,             0.00098692,             0.00098692,             0.00098692
                     13,                 2.3388,                 1.8116,                  1.025,                0.53596,                0.06126,                 0.0173,                0.00511,                 3.2026,                 3.6199,                 1.3241,             0.00098445,             0.00098445,             0.00098445
                     14,                   2.26,                   1.73,                 1.0494,                0.54323,                0.04946,                0.01867,                0.00544,                 3.1662,                 3.1672,                 1.3139,             0.00098177,             0.00098177,             0.00098177
                     15,                 2.1854,                 1.6966,                 1.0363,                0.27385,                0.10324,                0.01575,                0.00485,                 3.1595,                 3.4629,                 1.3113,             0.00097887,             0.00097887,             0.00097887
                     16,                  2.194,                 1.7289,                 1.0429,                 0.2811,                0.06421,                0.01446,                0.00485,                  3.198,                 3.7408,                 1.3208,             0.00097577,             0.00097577,             0.00097577
                     17,                  2.153,                 1.7489,                 1.0215,                0.27178,                0.10536,                0.01871,                0.00516,                 3.1949,                 3.9693,                 1.2952,             0.00097247,             0.00097247,             0.00097247
                     18,                 2.1985,                 1.7921,                 1.0459,                0.52899,                0.09851,                0.02423,                 0.0062,                 3.1589,                 3.3641,                 1.2953,             0.00096895,             0.00096895,             0.00096895
                     19,                 2.2374,                 1.8938,                  1.037,                0.52478,                0.10387,                0.01661,                0.00464,                  3.153,                 3.1942,                  1.312,             0.00096524,             0.00096524,             0.00096524
                     20,                 2.0576,                 1.6937,                 1.0016,                 0.5228,                0.09493,                0.01648,                0.00459,                 3.1103,                 3.3529,                 1.3023,             0.00096132,             0.00096132,             0.00096132
                     21,                 2.1357,                 1.6566,                 1.0278,                0.52812,                0.08999,                0.01952,                0.00543,                 3.0066,                 3.9251,                 1.2711,             0.00095721,             0.00095721,             0.00095721
                     22,                 2.1546,                 1.5849,                0.99913,                0.27262,                 0.1385,                0.01502,                0.00465,                 2.9838,                  4.109,                 1.2609,             0.00095289,             0.00095289,             0.00095289
                     23,                 2.1236,                 1.5906,                 1.0018,                0.27589,                0.11776,                0.01923,                0.00553,                 3.0428,                 3.9901,                 1.2698,             0.00094838,             0.00094838,             0.00094838
                     24,                 2.0513,                 1.5876,                0.97925,                  0.276,                 0.1184,                0.01704,                0.00551,                 3.0045,                 4.2255,                 1.2698,             0.00094367,             0.00094367,             0.00094367
                     25,                 2.0963,                 1.5752,                 1.0019,                0.27606,                0.09924,                0.01732,                0.00504,                 2.9361,                 4.1486,                 1.2462,             0.00093877,             0.00093877,             0.00093877
                     26,                 2.0086,                 1.5911,                 1.0002,                0.27558,                0.08935,                0.01836,                0.00504,                 2.9066,                 3.5014,                 1.2364,             0.00093368,             0.00093368,             0.00093368
                     27,                 2.0253,                 1.5834,                  0.998,                0.28279,                0.08808,                0.02365,                0.00669,                 2.8814,                 3.2453,                 1.2452,             0.00092841,             0.00092841,             0.00092841
                     28,                 1.9939,                 1.5619,                0.99579,                0.28489,                0.10166,                0.02111,                 0.0061,                 2.9771,                 3.1858,                 1.2695,             0.00092294,             0.00092294,             0.00092294
                     29,                 2.0622,                 1.5681,                0.99978,                0.28229,                0.11713,                0.02055,                0.00614,                 3.0025,                 3.1264,                 1.2741,              0.0009173,              0.0009173,              0.0009173
                     30,                 1.9933,                 1.4997,                0.96851,                 0.2789,                0.10387,                0.02012,                0.00572,                 2.9372,                 3.1913,                  1.245,             0.00091147,             0.00091147,             0.00091147
                     31,                 2.1266,                   1.53,                  1.005,                0.27841,                0.09924,                0.01809,                 0.0057,                 2.9278,                 3.2174,                 1.2529,             0.00090546,             0.00090546,             0.00090546
                     32,                 2.0007,                 1.5077,                0.98221,                0.27869,                0.10387,                0.01672,                 0.0057,                  2.969,                 3.3309,                 1.2831,             0.00089928,             0.00089928,             0.00089928
                     33,                 1.9582,                 1.3824,                0.97131,                0.27342,                0.08346,                0.01665,                0.00559,                 2.9782,                 3.3612,                 1.2814,             0.00089293,             0.00089293,             0.00089293
                     34,                 2.0085,                 1.3935,                 0.9856,                0.27549,                0.09693,                0.01555,                0.00522,                 2.9661,                 3.4591,                 1.2697,              0.0008864,              0.0008864,              0.0008864
                     35,                 1.9379,                  1.452,                  0.965,                 0.2779,                0.09135,                0.01489,                0.00511,                 2.9195,                 3.5722,                 1.2416,             0.00087971,             0.00087971,             0.00087971
                     36,                 1.9475,                 1.4152,                0.98331,                0.28088,                0.08082,                 0.0168,                0.00579,                 2.8952,                 3.4124,                 1.2245,             0.00087286,             0.00087286,             0.00087286
                     37,                 1.9477,                 1.4036,                0.97229,                0.27573,                 0.0604,                0.01711,                0.00593,                 2.9325,                 3.4513,                 1.2224,             0.00086584,             0.00086584,             0.00086584
                     38,                 1.9424,                 1.4603,                0.97359,                0.27957,                0.07156,                0.01878,                0.00663,                 2.9383,                 3.4095,                 1.2365,             0.00085866,             0.00085866,             0.00085866
                     39,                 1.8612,                 1.3369,                0.93771,                0.27594,                0.06893,                0.01993,                0.00703,                 2.9204,                 3.3249,                 1.2311,             0.00085133,             0.00085133,             0.00085133
                     40,                 1.9385,                 1.4388,                0.97045,                0.27827,                0.08346,                0.02159,                0.00704,                 2.9223,                 3.2286,                 1.2265,             0.00084385,             0.00084385,             0.00084385
                     41,                 1.9109,                 1.3523,                0.95099,                0.27824,                0.08082,                0.02032,                0.00628,                  2.877,                  3.179,                 1.2077,             0.00083622,             0.00083622,             0.00083622
                     42,                   1.87,                 1.3959,                0.94262,                0.27922,                0.10556,                0.01943,                0.00595,                 2.8737,                 3.1504,                    1.2,             0.00082844,             0.00082844,             0.00082844
